Date,Hour,Minute,Volume
20170107,21,30,20698.80
20170107,21,45,20348.20
20170107,22,0,20127.00
20170107,22,15,19710.30
20170107,22,30,19487.00
20170107,22,45,19225.30
20170107,23,0,18962.80
20170107,23,15,18869.50
20170107,23,30,18315.70
20170107,23,45,18266.90
20170107,24,0,17899.80
20170108,0,15,17626.40
20170108,0,30,17477.10
20170108,0,45,17348.50
20170108,1,0,17099.10
20170108,1,15,16805.30
20170108,1,30,16778.80
20170108,1,45,16482.10
20170108,2,0,16566.10
20170108,2,15,16262.80
20170108,2,30,16410.40
20170108,2,45,16428.90
20170108,3,0,16446.20
20170108,3,15,16377.10
20170108,3,30,16310.50
20170108,3,45,16342.60
20170108,4,0,16270.60
20170108,4,15,16579.30
20170108,4,30,16550.70
20170108,4,45,16680.20
20170108,5,0,16576.40
20170108,5,15,16695.00
20170108,5,30,16758.00
20170108,5,45,16760.40
20170108,6,0,16675.10
20170108,6,15,16702.80
20170108,6,30,16956.10
20170108,6,45,17058.80
20170108,7,0,17250.40
20170108,7,15,17162.20
20170108,7,30,17094.70
20170108,7,45,17035.90
20170108,8,0,17285.60
20170108,8,15,17616.60
20170108,8,30,17927.20
20170108,8,45,18140.30
20170108,9,0,18426.90
20170108,9,15,18837.90
20170108,9,30,19074.50
20170108,9,45,19379.00
20170108,10,0,19463.40
20170108,10,15,19716.50
20170108,10,30,19788.20
20170108,10,45,19841.10
20170108,11,0,19712.80
20170108,11,15,19888.20
20170108,11,30,19953.90
20170108,11,45,19847.00
20170108,12,0,19913.70
20170108,12,15,20033.30
20170108,12,30,19849.60
20170108,12,45,20031.10
20170108,13,0,20096.60
20170108,13,15,20151.10
20170108,13,30,20107.60
20170108,13,45,20049.40
20170108,14,0,20008.90
20170108,14,15,19852.10
20170108,14,30,19902.60
20170108,14,45,20106.50
20170108,15,0,19890.80
20170108,15,15,19679.00
20170108,15,30,19806.70
20170108,15,45,20027.70
20170108,16,0,20186.70
20170108,16,15,20872.20
20170108,16,30,21351.50
20170108,16,45,21573.80
20170108,17,0,21661.40
20170108,17,15,21690.10
20170108,17,30,21516.70
20170108,17,45,21629.40
20170108,18,0,21737.90
20170108,18,15,21811.00
20170108,18,30,21714.70
20170108,18,45,21830.50
20170108,19,0,21858.40
20170108,19,15,21792.10
20170108,19,30,21823.70
20170108,19,45,21808.70
20170108,20,0,21696.20
20170108,20,15,21560.70
20170108,20,30,21284.10
20170108,20,45,21074.70
20170108,21,0,20736.90
20170108,21,15,20598.50
20170108,21,30,20209.10
20170108,21,45,20047.70
20170108,22,0,19810.50
20170108,22,15,19617.40
20170108,22,30,19397.20
20170108,22,45,19162.40
20170108,23,0,18816.20
20170108,23,15,18358.00
20170108,23,30,18345.10
20170108,23,45,17893.60
20170108,24,0,17575.60
20170109,0,15,17362.40
20170109,0,30,17472.30
20170109,0,45,17286.90
20170109,1,0,17285.80
20170109,1,15,17379.80
20170109,1,30,17295.90
20170109,1,45,17198.30
20170109,2,0,17098.00
20170109,2,15,16998.30
20170109,2,30,17174.10
20170109,2,45,17143.60
20170109,3,0,17168.60
20170109,3,15,17533.70
20170109,3,30,17542.40
20170109,3,45,17532.70
20170109,4,0,17554.00
20170109,4,15,17731.10
20170109,4,30,17738.90
20170109,4,45,17974.30
20170109,5,0,17969.30
20170109,5,15,18444.90
20170109,5,30,18527.80
20170109,5,45,18955.40
20170109,6,0,19451.10
20170109,6,15,20483.50
20170109,6,30,21183.10
20170109,6,45,21873.40
20170109,7,0,22724.60
20170109,7,15,23284.30
20170109,7,30,23438.90
20170109,7,45,23560.80
20170109,8,0,23554.90
20170109,8,15,24166.50
20170109,8,30,24343.90
20170109,8,45,24534.70
20170109,9,0,24755.90
20170109,9,15,24895.40
20170109,9,30,24992.70
20170109,9,45,25009.90
20170109,10,0,24840.40
20170109,10,15,24828.70
20170109,10,30,24884.30
20170109,10,45,25092.70
20170109,11,0,25180.50
20170109,11,15,25161.80
20170109,11,30,25186.30
20170109,11,45,25289.10
20170109,12,0,25286.00
20170109,12,15,25157.00
20170109,12,30,25183.40
20170109,12,45,25252.40
20170109,13,0,25324.10
20170109,13,15,25428.80
20170109,13,30,25598.80
20170109,13,45,25229.20
20170109,14,0,24726.20
20170109,14,15,24775.80
20170109,14,30,25056.00
20170109,14,45,25037.30
20170109,15,0,24867.50
20170109,15,15,24560.70
20170109,15,30,24682.10
20170109,15,45,24756.90
20170109,16,0,25026.50
20170109,16,15,25459.10
20170109,16,30,25976.10
20170109,16,45,26022.30
20170109,17,0,26057.10
20170109,17,15,26065.00
20170109,17,30,26230.60
20170109,17,45,26024.70
20170109,18,0,25713.20
20170109,18,15,25688.10
20170109,18,30,25661.90
20170109,18,45,25691.80
20170109,19,0,25618.20
20170109,19,15,25625.20
20170109,19,30,25694.40
20170109,19,45,25480.70
20170109,20,0,25149.00
20170109,20,15,25042.30
20170109,20,30,24710.40
20170109,20,45,24551.20
20170109,21,0,24026.80
20170109,21,15,23605.20
20170109,21,30,23354.40
20170109,21,45,22971.80
20170109,22,0,22140.80
20170109,22,15,21886.40
20170109,22,30,21726.40
20170109,22,45,21449.00
20170109,23,0,20984.70
20170109,23,15,20340.30
20170109,23,30,20132.60
20170109,23,45,19730.10
20170109,24,0,19544.30
20170110,0,15,19134.50
20170110,0,30,19104.80
20170110,0,45,18876.50
20170110,1,0,18957.50
20170110,1,15,18980.00
20170110,1,30,18906.40
20170110,1,45,18784.50
20170110,2,0,18747.50
20170110,2,15,18788.50
20170110,2,30,18733.60
20170110,2,45,18846.10
20170110,3,0,18846.70
20170110,3,15,18827.60
20170110,3,30,18789.40
20170110,3,45,18766.60
20170110,4,0,18896.20
20170110,4,15,19056.20
20170110,4,30,19102.10
20170110,4,45,19311.50
20170110,5,0,19305.80
20170110,5,15,19728.60
20170110,5,30,19830.60
20170110,5,45,20142.00
20170110,6,0,20389.30
20170110,6,15,21327.80
20170110,6,30,21869.70
20170110,6,45,22652.90
20170110,7,0,23548.90
20170110,7,15,23879.80
20170110,7,30,23963.60
20170110,7,45,23913.00
20170110,8,0,24236.90
20170110,8,15,24611.20
20170110,8,30,24682.20
20170110,8,45,24890.80
20170110,9,0,25093.70
20170110,9,15,25168.90
20170110,9,30,25099.00
20170110,9,45,25134.70
20170110,10,0,24961.20
20170110,10,15,24813.20
20170110,10,30,24912.90
20170110,10,45,25019.60
20170110,11,0,25091.80
20170110,11,15,25076.70
20170110,11,30,24861.30
20170110,11,45,25071.70
20170110,12,0,25121.70
20170110,12,15,25216.70
20170110,12,30,25090.80
20170110,12,45,24992.70
20170110,13,0,25122.70
20170110,13,15,25485.00
20170110,13,30,25339.10
20170110,13,45,24997.50
20170110,14,0,24702.90
20170110,14,15,24806.30
20170110,14,30,24781.30
20170110,14,45,24632.80
20170110,15,0,24618.80
20170110,15,15,24533.60
20170110,15,30,24562.30
20170110,15,45,24495.70
20170110,16,0,24673.80
20170110,16,15,25222.60
20170110,16,30,25784.40
20170110,16,45,26068.50
20170110,17,0,25898.90
20170110,17,15,26087.40
20170110,17,30,26006.70
20170110,17,45,25783.70
20170110,18,0,25618.90
20170110,18,15,25393.70
20170110,18,30,25473.80
20170110,18,45,25774.20
20170110,19,0,25487.90
20170110,19,15,25500.50
20170110,19,30,25571.80
20170110,19,45,25395.70
20170110,20,0,25302.30
20170110,20,15,24884.50
20170110,20,30,24726.60
20170110,20,45,24475.90
20170110,21,0,24187.00
20170110,21,15,23785.60
20170110,21,30,23278.90
20170110,21,45,22656.80
20170110,22,0,22042.80
20170110,22,15,22065.10
20170110,22,30,21654.40
20170110,22,45,21335.50
20170110,23,0,20907.80
20170110,23,15,20672.50
20170110,23,30,20304.80
20170110,23,45,20051.10
20170110,24,0,19579.30
20170111,0,15,19258.80
20170111,0,30,18989.00
20170111,0,45,18769.70
20170111,1,0,18642.60
20170111,1,15,18660.40
20170111,1,30,18477.30
20170111,1,45,18405.00
20170111,2,0,18134.10
20170111,2,15,18158.00
20170111,2,30,18212.70
20170111,2,45,18151.50
20170111,3,0,18198.40
20170111,3,15,18202.70
20170111,3,30,18328.00
20170111,3,45,18306.50
20170111,4,0,18468.40
20170111,4,15,18473.50
20170111,4,30,18572.00
20170111,4,45,18632.70
20170111,5,0,18809.90
20170111,5,15,19004.70
20170111,5,30,19285.00
20170111,5,45,19540.70
20170111,6,0,20050.10
20170111,6,15,21264.30
20170111,6,30,22166.10
20170111,6,45,22845.50
20170111,7,0,23611.10
20170111,7,15,24065.60
20170111,7,30,24176.30
20170111,7,45,24168.80
20170111,8,0,24433.20
20170111,8,15,24771.50
20170111,8,30,24884.20
20170111,8,45,25051.40
20170111,9,0,25295.40
20170111,9,15,25469.50
20170111,9,30,25442.90
20170111,9,45,25413.10
20170111,10,0,25207.90
20170111,10,15,25035.50
20170111,10,30,25239.40
20170111,10,45,25257.60
20170111,11,0,25264.40
20170111,11,15,25030.50
20170111,11,30,25245.90
20170111,11,45,25024.80
20170111,12,0,25158.10
20170111,12,15,25050.60
20170111,12,30,24980.80
20170111,12,45,24952.80
20170111,13,0,24954.30
20170111,13,15,25342.30
20170111,13,30,25148.50
20170111,13,45,24847.70
20170111,14,0,24373.00
20170111,14,15,24624.70
20170111,14,30,24576.30
20170111,14,45,24762.10
20170111,15,0,24490.80
20170111,15,15,24411.20
20170111,15,30,24346.10
20170111,15,45,24409.70
20170111,16,0,24708.10
20170111,16,15,25177.60
20170111,16,30,25761.60
20170111,16,45,25719.10
20170111,17,0,26020.00
20170111,17,15,25952.00
20170111,17,30,25856.20
20170111,17,45,25706.70
20170111,18,0,25584.30
20170111,18,15,25473.10
20170111,18,30,25445.90
20170111,18,45,25715.80
20170111,19,0,25512.70
20170111,19,15,25369.10
20170111,19,30,25377.10
20170111,19,45,25265.80
20170111,20,0,25052.30
20170111,20,15,24874.00
20170111,20,30,24643.30
20170111,20,45,24395.10
20170111,21,0,24128.30
20170111,21,15,23704.90
20170111,21,30,23322.90
20170111,21,45,22521.00
20170111,22,0,21815.40
20170111,22,15,21766.10
20170111,22,30,21510.00
20170111,22,45,21122.70
20170111,23,0,20695.20
20170111,23,15,20355.20
20170111,23,30,20002.40
20170111,23,45,19634.10
20170111,24,0,19404.60
20170112,0,15,19174.10
20170112,0,30,18838.50
20170112,0,45,18896.40
20170112,1,0,19131.40
20170112,1,15,19491.50
20170112,1,30,19164.30
20170112,1,45,19152.60
20170112,2,0,19020.80
20170112,2,15,19066.60
20170112,2,30,19044.20
20170112,2,45,19008.10
20170112,3,0,18999.50
20170112,3,15,19050.10
